Identifier,Place of Publication,Date of Publication,Publisher,Title,Author
207289,Budapest,1891,,"Magyarország története középiskolák alsó osztályai és polgári fiúiskolák számára ... Térképekkel, etc","BARÓTI, Lajos - and CSÁNKI (Dezső)"
207672,London,1866,"Cassell, Petter, & Galpin",The Child's Garland of Little Poems ... With illustrative borders by Giacomello,"BARR, Matthias."
209253,London,1896,Innes & Co.,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill,"BARRETT, Charles Raymond Booth."
209256,London,1895,Bliss & Co.,"Charterhouse. 1611-1895, in pen and ink ... With a preface by G. E. Smythe","BARRETT, Charles Raymond Booth."
209364,London,1866,Chapman & Hall,"A Selection from the Poetry of Elizabeth Barrett Browning. [With a prefatory note signed: R. B., i.e. Robert Browning. With a portrait.]: Smaller Collections","Browning, Elizabeth Barrett"
209472,London,1873,Sampson Low & Co.,The Rhyme of the Duchess May. [From “Poems”] ... Illustrated by Charlotte M. B. Morrell: Single Works,"Browning, Elizabeth Barrett"
209530,York,1868,Thomas Whittaker,"The True Mary: being Mrs. Browning's poem: “The Virgin Mary to the Child Jesus” [from “The Seraphim, and other poems”], with comments and notes ... Edited by W. A. Muhlenberg. [The annotator's preface signed: A. A.]: Single Works","Browning, Elizabeth Barrett"
210570,London,1885,Remington & Co.,The Devil's Portrait ... Translated ... by E. Wodehouse,"BARRILI, Anton Giulio."
211440,Paris,1886,,"Les Environs de Paris. Ouvrage illustré de ... dessins d'après nature par G. Fraipont et accompagné d'une carte, etc","BARRON, Louis."
211441,Paris,1891,,Les Fleuves de France. La Garonne ... Ouvrage orné de 153 dessins par A. Chapon,"BARRON, Louis."
211442,Paris,1888,,Les Fleuves de France. La Loire ... Ouvrage orné de 134 dessins par A. Chapon,"BARRON, Louis."
211443,Paris,1892,,Les Fleuves de France. Le Rhône ... Ouvrage orné de 168 dessins par A. Chapon,"BARRON, Louis."
211444,Paris,1889,,Les Fleuves de France. La Seine ... Ouvrage orné de 175 dessins par A. Chapon,"BARRON, Louis."
212232,London,1872,R.T.S.,"Biblical Geography and Antiquities ... With numerous maps and plans, etc. (Reprinted, with revision and additional matter, from the original edition of the American Tract Society.)","BARROWS, Elijah Porter."
212663,London,1808,Longman & Co.,[The history of the Orkney Islands.],"BARRY, George."
213402,Pest,1860,,A Párthus és Húnmagyar Scythákról Barthal Gy. A szerző arczképével s rövid életrajzával kiadja Toldy F,"BARTAL, György - Beleházi"
214807,London,1806,J. Johnson,"Travels of Anacharsis the Younger in Greece during the middle of the Fourth Century before the Christian Era ... The fourth edition ... With Memoirs of the life of J. J. Barthélemy, written by himself, etc. [Translated by William Beaumont.]: Voyage du jeune Anacharsis en Grèce","BARTHÉLEMY, Jean Jacques."
214819,London,1802,G. & J. Robinson,"Travels in Italy ... In a series of letters written to ... Count Caylus. With an appendix, containing several pieces ... by the Abbé Winkelman, Father Jacquier, the Abbé Zarillo, and other learned men, etc. [Edited by Antoine Sérieys.]: Voyage en Italie de M. l'abbé Barthélemy","BARTHÉLEMY, Jean Jacques."
214961,Paris,1888,,Les Voyages de Ludovico di Varthema ... Traduits ... par J. Balarin de Raconis ... Publiés et annotés par M. Ch. Schefer,"BARTHEMA, Lodovico."
216131,Boston,1880,D. Lothrop & Co.,The Concord Guide Book. Edited by G. B. Bartlett. Illustrations by Miss L. B. Humphrey and R. Lewis,"BARTLETT, George Bradford."
216443,London,1855,"A. Hall, Virtue & Co.",Jerusalem Revisited ... With illustrations. [Edited by Frederick Augustus Bartlett.],"Bartlett, W. H. (William Henry)"
216451,Leiden,1859,,"De Pelgrim-Vaders of Puriteinen, stichters van Nieuw Engeland, naar het Engelsch ... bewerkt met aanteekeningen en oorspronkelijke bijlagen ... door Dr. E. B. Swalue","Bartlett, W. H. (William Henry)"
216452,London,1850,,"A Pilgrimage through the Holy Land, explanatory of the Diorama of Jerusalem and the Holy Land, painted under the direction of Mr. W. Beverly, from original sketches ... by Mr. W. H. Bartlett. [With illustrations.]","BARTLETT, William Henry."
217767,"Windsor, Vt",1821,W. Spooner,"Narrative of the Surprize and Capture of Major-General Richard Prescott, of the British Army, in his head-quarters ... by a party of American soldiers under Major-General William Barton ... detailed from facts furnished by Gen. Barton himself ... To which is added, a statement of General Barton's law suit in Vermont, and his subsequent sufferings. [The introductory remarks signed: B.]","BARTON, William - Brigadier-General"
218320,London,1890,R. Bentley & Sons,"The Life of E. M. Barttelot ... An account of his services for the relief of Kandahar, of Gordon, and of Emin, from his letters and diary, by W. L. Barttelot. [With plates, including a portrait, and maps.]","BARTTELOT, Edmund Musgrave."
218321,Paris,1891,,Journal et correspondance ... Publiés par W. G. Barttelot,"BARTTELOT, Edmund Musgrave."
218780,Paris,1898,,"Le Dernier rapport d'un Européen sur Ghât et les Touareg de l'Aīr. Journal de voyage d'Erwin de Bary, 1876-1877. Traduit et annoté par Henri Schirmer","BARY, Erwin de."
220315,Paris,1893,,"Fragments inédits de l'Histoire de Louis XI par Thomas Basin, tirés d'un manuscrit de Goettingue par M. Léopold Delisle. Tiré des Notices et extraits des manuscrits de la Bibliothèque Nationale, etc","BASIN, Thomas - successively Bishop of Lisieux and Archbishop of Caesarea"
221681,Leipzig,1860,,Die Kurmark Brandenburg im Zusammenhange mit den Schicksalen des Gesammtstaats Preussen während der Jahre 1809 und 1810. Aus dem Nachlasse des wirklichen Geheimraths M. F. von Bassewitz herausgegeben von Karl von Reinhard. Nebst einer Biographie und dem Porträt des Verfassers,"BASSEWITZ, Magnus Friedrich von."
222069,Paris,1884,,La Défense de Bazeilles. Dessins inédits et croquis d'après nature de A. de Neuville et L. Sergent. Deuxième édition,"BASTARD, Georges - of Nantes"
225301,London,1775,J. Almon,"Bath and it's Environs, a descriptive poem, in three cantos, etc. [By R. Hippesley.]: Appendix",
225326,Bath,1775,L. Bull,"Poetical Amusements at a Villa near Bath. [Edited by Anne, Lady Miller.]: Appendix",
226526,Singapore,1894,Singapore & Straits Printing Office,"Glimpses of the Eastern Archipelago. Ethnographical, geographical, historical. Translated from the Dutch [of F. S. A. de Clercq, C. M. Pleyte and others] by G. G. Batten [the editor]","BATTEN, George G."
227059,London,1879,J. Blackwood & Co.,The Battle between the Elephant and the Whale. [By George Vincent. In verse.],
227094,Edinburgh,1878,David Douglas,A Lost Battle. [By Eleanor C. Price. A novel.],
227503,Breslau,1886,,"Die Markgrafen Johann I. und Otto III. von Brandenburg in ihren Beziehungen zum Reich. 1220-1267. Anhang: Reichslegat Gebhard von Arnstein, ein Brandenburger im Dienste Kaiser Friedrichs II. Die Initiative zur Wahl Richards von Cornwall zum römischen König","BAUCH, Alfred."
227617,Cincinnati,1897,Curts & Jennings,In Journeyings Oft. A sketch of the life and travels of Mary C. Nind,"BAUCUS, Georgiana."
228197,Stuttgart,1865,,"Schleswig-Holstein meerumschlungen. Kriegs- und Friedensbilder aus dem Jahre 1864 ... Illustrirt von O. Fikentscher, E. Hartmann, A. Beck, J. Kleemann, C. Kolb, Th. Weber und Anderen","BAUDISSIN, Adelbert Heinrich - Count"
228393,Paris,1893,,"Notes historiques sur la Convention Nationale, le Directoire, l'Empire et l'exil des votants. [Edited by Mme. Edgar Quinet.]","BAUDOT, Marc Antoine."
228519,London,1818,William Fearman,"The Green Man: a comedy, in three acts ... From the French of M.M. D'Aubigny et Poujol, by Richard Jones","BAUDOUIN D'AUBIGNY, Jean Marie Théodore - and POUJOL (Adolphe) the Elder"
229856,Paris,1893,,Château de La Rochefoucauld en Angoumois. Notice historique; essai de restitution au XVe siècle; restauration au XVIe siècle. [With plates.],"BAUHAIN, E. - and GODEFROY (J.)"
231015,Strassburg,1894,,"Historische und politische Aufsätze und Reden ... Mit einer biographischen Einleitung von E. Marcks, etc","BAUMGARTEN, Hermann."
231743,Tours,1887,,A travers le Zanguebar. Voyage ... Par les PP. Baur et Le Roy ... Orné de 45 gravures ... Deuxième édition,"BAUR, Stephan."
231784,Bordeaux,1876,,"[Variétés bordeloises, ou essai historique et critique sur la topographie ancienne et moderne du diocèse de Bordeaux.]","BAUREIN, Jacques."
234044,Doncaster,1846,R. Hartley,Doncaster Races. Speeches delivered at a meeting on this subject ... by R. Baxter ... and ... C. R. Alford. (Extracted from the “Doncaster Chronicle.”),"BAXTER, Robert."
234050,Doncaster,1831,C. & J. White,The Layman's Appeal for the Church; with animadversions on Mr. Beverley's Letter to the Archbishop of York and Tombs of the Prophets,"BAXTER, Robert."
234507,York,1868,Joseph Sabin,"[A Journal of the Late Actions of the French at Canada. With the manner of their being repuls'd, by His Excellency, Benjamin Fletcher, Their Majesties Governour of New-York. Impartially related by Coll. N. Reyard [or rather, Bayard], and Lieutenant Coll. C. Lodowick ... To which is added, I. An Account of the present state and strength of Canada, given by two Dutchmen ... II. The Examination of a French prisoner. III. His Excellency Benjamin Fletcher's speech to the Indians. IV. An Address from the Corporation of Albany, etc.]","BAYARD, Nicholas - and LODOWICK (Charles)"
234520,York,1826,Clayton & Van Norden,"An Exposition of the Conduct of the two houses of G. G. & S. Howland and Le Roy, Bayard, & Company in relation to the frigates Liberator and Hope, in answer to a Narrative on that subject, by Mr. Alexandre Contostavlos","BAYARD, William."
234941,London,1887,R. Bentley & Son,Miss Bayle's Romance. A story of to-day. [By William Fraser Rae.],
235528,Boston,1866,Wiggin & Lunt,[An Historical Memoir of the Colony of New Plymouth.],"BAYLIES, Francis."
235975,Malton,1828,Printed for private distribution,"Psychæ, or, Songs on butterflies, &c. by T. H. Bayly Esqr. Attempted in Latin rhyme, with a few additional trifles. [The preface signed: F. W., i.e. Francis Wrangham.] Eng. & Lat","BAYLY, Nathaniel Thomas Haynes."
236472,Bayonne,1827,,"Nouvelle chronique de la ville de Bayonne, par un Bayonnais [i.e. Jean Baptiste Bailac. With statistical tables]",
236665,London,1856,"Sampson, Low & Co.","The Crimean Expedition, to the Capture of Sebastopol. Chronicles of the War in the East from its commencement to the signing of the treaty of peace ... Translated ... by Robert Howe Gould: [L'Expédition de Crimée.]","BAZANCOURT, César de - Baron"
237147,London,1896,"Digby, Long & Co.",The Italians of To-day ... Translated by J. Crooklands: [Les Italiens d'aujourd'hui.],"BAZIN, René François Nicolas Marie."
237486,London,1864,C. J. Skeet,"Lost Lenore; or, the Adventures of a rolling stone ... Edited by Captain Mayne Reid","Reid, Mayne"
239236,"Springfield, O",1881,Republic Printing Co.,History of Hancock County ... With ... biographical sketches,"BEARDSLEY, D. B.|BÉARN, Gaston III. - Count de Foix, Viscount"
239740,London,1816,G. & W. Nicol; J. Booth,"Tracts relative to the Island of St. Helena; written during a residence of five years ... Illustrated with views engraved by Mr. William Daniell, from the drawings of Samuel Davis","BEATSON, Alexander."
239901,London,1785,T. Cadell,"The Fall of Scepticism and Infidelity predicted; an epistle [in verse] to Dr. Beattie, occasioned by his Essay on the Nature and Immutability of Truth. To which are subjoined ... Dissertations on ... religious subjects. [By William Cockin.]: An Essay on the Nature and Immutability of Truth, in opposition to sophistry and scepticism ... The eighth edition, corrected, to which is now prefixed, a sketch of the origin and progress of the work","Beattie, James"
240049,London,1844,George Virtue,[The Castles and Abbeys of England ... Illustrated by ... engravings.],"BEATTIE, William - M.D"
240058,London,1836,George Virtue,Switzerland. Illustrated in a series of views taken expressly for this work by W. H. Bartlett. [With a map.],"BEATTIE, William - M.D"
240652,London,1852,"Smith, Elder & Co.","Agatha Beaufort; or, Family pride. By the author of “Pique” [i.e. Fanny Eliza Millett Notley]","BEAUFORT, Agatha."
240671,London,1864,Richard Bentley,"The Eastern Shores of the Adriatic in 1863. With a visit to Montenegro. [The three chapters, Northern Albania, Dalmatia, Chaos; by Viscount Strangford. With plates.]","BEAUFORT, Emily Anne - afterwards SMYTHE (Emily Anne) Viscountess Strangford"
240834,Bordeaux,1862,,"[L'Histoire de la guerre d'Escosse, traitant comme le royaume fut assailly, en grād partie occupé par les Anglais, & depuis rendu paisible à sa reyne, & reduit en son ancien estat & dignité.]","BEAUGUÉ, Jean de."
241078,Chester,1800,J. Fletcher,"Beaumaris Bay, a Poem: with notes, descriptive and explanatory; particulars of the Druids, founders of some of the fifteen tribes of North Wales, the families descended from them, and quotations from the bards. With an appendix: containing an account of the battle of Beaumaris in 1648, and the taking of the castle. [By R. Llwyd.]",
241254,London,1640,"Richard Hodgkinson, for W. W. and Laurence Blaikelocke","Poems ... viz. The Hermaphrodite. The Remedie of Love. Elegies. Sonnets, with other poems","BEAUMONT, Francis."
241291,Paris,1865,,"Contemporains de Shakspeare. Beaumont et Fletcher. Traduits par Ernest Lafond, avec une notice sur la vie de ces deux poëtes. [Four plays.]: Two or more Works","BEAUMONT, Francis - and FLETCHER (John) Dramatist"
241337,London,1687,R. H. for W. Canning,"The Island-Princess ... [Here attributed to Beaumont and Fletcher, but more probably by Fletcher alone.] Reviv'd with alterations. By N. Tate. Gent: Single Works","BEAUMONT, Francis - and FLETCHER (John) Dramatist"
241377,London,1778,For J. Bell,"The Little French Lawyer. A farce, in two acts. Taken from Beaumont and Fletcher. [By Mrs. Booth?]: Single Works","BEAUMONT, Francis - and FLETCHER (John) Dramatist"
241411,London,1695,For R. Bentley,"Philaster ... Revis'd, and the two last acts new written [by Elkanah Settle]: Single Works","BEAUMONT, Francis - and FLETCHER (John) Dramatist"
241463,London,1710,For J. T.; sold by J. Harris,[The Scornful Ladie ... 1616.]: Single Works,"BEAUMONT, Francis - and FLETCHER (John) Dramatist|BEAUMONT, Francis - and FLETCHER (John) Dramatist"
241650,Cambridge,1749,W. Thurlbourn,"Original Poems in English and Latin, with an appendix containing a dissertation &c. and some remarks on the Epistle to the Colossians. By J. Beaumont ... To which is prefixed an account of his life and writings [signed: J. G., i.e. John Gee]. Few MS. notes","BEAUMONT, Joseph - D.D"
242086,Paris,1878,,"La Roumanie. Géographie, histoire ... mœurs et coutumes, etc","BEAURE, Antoine - and MATHOREL (Henri)"
242220,London,1782,S. Hooper,"The Beauties of Administration, a poem. With an heroic race to the palace, between L-d Sh-lb-ne [i.e. Lord Shelburne] and the Hon. C. J. F-x [i.e. C. J. Fox]",
242306,London,1880,"Smith, Elder & Co.","Beauty's Daughters. By the author of 'Phyllis' [i.e. Margaret Argles, afterwards Hungerford], etc",
242492,London,1870,John Murray,A Voyage round the World. (vol. 3 translated by Agnes and Helen Stephenson.),"BEAUVOIR, Ludovic de - Marquis"
243314,Milano,1858,,"Dei delitti e delle pene ... Edizione nuovissima corredata da commenti di criminalist italiani, francesi ed alemanni con note illustative, biografia ed osservazioni in rapporto all'attuale codice criminale austriaco per F. Turotti. [Followed by “M. Pagano. Principii del Codice Penale. Teoria delle prove. Considerazioni sul processo criminale.” With a portrait.]","BECCARIA BONESANA, Cesare - Marquis"
243333,Wien,1876,,Caesar Beccaria über Verbrechen und Strafen. Uebersetzt von Dr. Julius Glaser. Zweite neu durchgesehene Auflage: Dei delitti e delle pene,"BECCARIA BONESANA, Cesare - Marquis"
244066,Schweinfurt,1843,,"Album der Haupt-und Residenzstädte Europa's, herausgegeben von L. Bechstein und V. Kleinknecht. (Sect. 2. Lfg. 3-5 von Dr. Eugen Huhn und V. Kleinknecht.)","Bechstein, Ludwig"
244562,Kjøbenhavn,1863,,Generalmajor Olaf Rye's Tilbagetog gjennem Nørrejylland 1849 ... Med 3 Kaart,"BECK, Hans Charles Johannes von."
245165,Paisley,1888,Alexander Gardner,[Des Rabbi Vermächtnis.] Tempted of the Devil ... retold ... by M. W. Macdowall,"BECKER, August - Novelist"
245743,Berlin,1840,,"K. A. G. Beckers Weltgeschichte. Dritte Auflage, neu bearbeitet von G. L. Staedler","BECKER, K. A. G."
246176,London,1838,George Virtue,Dramatic and Prose Miscellanies. Edited by William Beattie ... A new edition,"BECKET, Andrew."
246545,Nürnberg,1892,,Festschrift dargeboten den Mitgliedern und Teilnehmern der 65. Versammlung der Gesellschaft deutscher Naturforscher und Ärzte ... Herausgegeben ... von ... W. Beckh ... F. Goldschmidt ... E. Hecht. Mit vielen Abbildungen und Plänen,"BECKH, Wilhelm."
246640,London,1828,William Pickering,"A Journal by one of the suite of Thomas Beckington, afterwards Bishop of Bath and Wells, during an embassy to negotiate a marriage between Henry VI, and a daughter of the Count of Armagnac A. D. 1442. With notes and illustrations, by Nicholas Harris Nicolas. [With memoirs of T. Beckington, Sir Robert Roos, and Sir Edward Hull.]","BECKINGTON, Thomas - Bishop of Bath and Wells"
246641,Paris,1842,,"Journal du voyage d'un ambassadeur anglais (T. Beckington) à Bordeaux, en 1442. Traduit et accompagné de quelques éclaircissemens par M. G. B. [i.e. P. G. Brunet]. [An offprint from “L'Indicateur.”]","BECKINGTON, Thomas - Bishop of Bath and Wells"
247776,London,1886,"Simpkin, Marshall & Co.","Fotheringhay and Mary, Queen of Scots ... With illustrations ... and ... portraits of Mary ... now first published","BEDE, Cuthbert - pseud. [i.e. Edward Bradley.]"
249060,London,1841,John Mason,"Ashantee and the Gold Coast: being a sketch of the history, social state, and superstitions of the inhabitants of those countries: with a notice of the state and prospects of Christianity among them. [With a map.]","BEECHAM, John."
249323,London,1843,Richard Bentley,"A Voyage of Discovery towards the North Pole, performed in His Majesty's Ships Dorothea and Trent, under the command of Capt. David Buchan, R.N., 1818; to which is added, a summary of all the early attempts to reach the Pacific by way of the Pole. [With plates.]","BEECHEY, Frederick William."
250524,London,1885,Kent & Co.,"An Archæological Description of Saltwood Castle near Hythe, Kent ... With illustrations ... The historical notes by C. Beeston","BEESTON, Frederick."
250874,London,1868,"Ward, Lock & Co.","Beeton's Great Book of Poetry: from Cædmon and King Alfred's Boethius to Browning and Tennyson. Also, a separate selection of American poems ... with sketches of the history of the poetry of our country, and biographical notices of the poets [by J. W. Lester]. Edited by S. O. Beeton","BEETON, Samuel Orchart."
251355,Winnipeg,1879,Times Printing House,Ten Years in Winnipeg. A narration of the principal events in the history of the city of Winnipeg from ... 1870 to ... 1879 inclusive,"BEGG, Alexander - Editor of the 'British Columbia Mining Record' and NURSEY (Walter R.)"
251438,London,1866,Cassell & Co.,"The Beggar's Benison: or, a Hero, without a name; but, with an aim. A Clydesdale Story. [By George Mills.] Illustrated by upwards of 300 amateur pen and ink sketches",
251565,Paris,1851,,"Voyage pittoresque en Suisse, en Savoie et sur les Alpes. Illustrations de MM. Rouargue frères","BÉGIN, Émile Auguste."
252085,Aschaffenburg,1843,,Geschichte und Beschreibung von Aschaffenburg und dem Spessart. [With plates and maps.],"BEHLEN, Stephan - and MERKEL (Joseph)"
252228,London,1690,James Knapton,"The Widdow Ranter, or, the History of Bacon in Virginia. A tragi-comedy. [The editor's preface signed: G. J.]","Behn, Aphra"
252232,London,1696,J. Harris,"The Younger Brother: or, the Amorous Jilt. A comedy ... Written by the late ingenious Mrs. A. Behn. With some account of her life. [Edited, with alterations and a memoir, by Charles Gildon.]","Behn, Aphra"
252592,Lübeck,1856,,Topographie und Statistik von Lübeck und dem mit Hamburg gemeinschaftlichen Amte Bergedorff. Zweite Auflage ... herausgegeben von Major Behrens [of Tl. 1 of the work by H. L. and C. G. Behrens]. Abt. 1,"BEHRENS, C. G."
252668,Lübeck,1829,,Topographie und Statistik von Lübeck und dem mit Hamburg gemeinschaftlichen Amte Bergedorf ... Unter Mitwirkung mehrerer Gelehrten herausgegeben von H. L. und C. G. Behrens. (Tl. 2. Herausgegeben von C. G. Behrens.),"BEHRENS, H. L. - and (C. G.)"
253062,Deventer,1847,,"Oldenbarneveld, de Staten van Holland en Leycester in 1585 en 1586. Eene bijdrage ... tot de waardering van eenige historische voorstelingen in den roman, Leycester in Nederland, van Mejufvrouw Toussaint, alsmede teregtwijzing voor ... J. A. M. Mensinga, en antwoord aan ... M. Siegenbeek","BEIJERMAN, Hugo."
253737,London,1878,Trübner & Co.,"The late Dr. Charles Beke's Discoveries of Sinai in Arabia and of Midian. With portrait ... map and thirteen wood engravings. Edited by his widow, etc","BEKE, Charles Tilstone."
253739,London,1850,James Madden,"An Enquiry into M. Antoine d'Abbadie's Journey to Kaffa, in the years 1843 and 1844, to discover the source of the Nile. [With a map.]","BEKE, Charles Tilstone."
253740,London,1851,James Madden,"[An Enquiry into M. Antoine d'Abbadie's Journey to Kaffa, in the years 1843 and 1844, to discover the source of the Nile. [With a map.]]","BEKE, Charles Tilstone."
253756,London,1850,,"Note by Dr. Beke on Mr. Ayrton's Paper, etc. (From the Journal of the Royal Geographical Society of London.)","BEKE, Charles Tilstone."
253762,London,1836,Richard Taylor,"On the Former Extent of the Persian Gulf, and on the Non-identity of Babylon and Babel; in reply to Mr. Carter. (From the London and Edinburgh Philosophical Magazine.)","BEKE, Charles Tilstone."
253772,London,1849,R. & J. E. Taylor,"On the Sources of the Nile; being an attempt to assign the limits of the basin of that river. [Reprinted from the London, Edinburgh, and Dublin Philosophical Magazine.]","BEKE, Charles Tilstone."
253785,London,1865,Longman & Co.,Jacob's Flight; or a Pilgrimage to Harran and thence in the Patriarch's footsteps into the Promised Land. With illustrations ... With an introduction and a map by Dr. Beke,"BEKE, Emily."
254657,London,1848,"Reeve, Benham & Reeve","Narrative of the Voyage of H.M.S. Samarang during the years 1843-46; employed surveying the Islands of the Eastern Archipelago; accompanied by a brief vocabulary of the principal languages ... With notes on the natural history of the Islands, by Arthur Adams. [With plates and maps.]","BELCHER, Edward - Sir"
255454,Belfast,1823,A. Mackay,"The History of the Town of Belfast with ... a statistical survey of the parish of Belfast, etc. [By George Benn.]: Appendix",
258573,"Dover, N.H",1831,"S. C. Stevens, Ela & Wadleigh",[The History of New-Hampshire. [With a map.]],"BELKNAP, Jeremy."
259210,London,1889,Wells Gardner & Co.,"From Pharaoh to Fellah ... [A descriptive account of a journey in Egypt.] With illustrations by G. Montbard, etc","BELL, Charles Frederic Moberly."
259340,Belfast,1873,William Mullan,Bell's Standard Elocutionist ... New edition ... enlarged and improved,"BELL, David Charles - and BELL (Alexander Melville)"
259557,London,1842,"Smith, Elder & Co.",I.G. Reasons for Promoting the Cultivation of the New Zealand Flax,"BELL, Francis Dillon - Sir, K.C.M.G., and YOUNG (Sir Frederick) K.C.M.G"
260554,Frederick Warne & Co,1866,London,"Doctor Weld; or, The Web of life. By the author of “Deeds not words” [i.e. M. M. Bell], &c","BELL, M. M."
261589,London,1768,For the Author,"Ethic Amusements by Mr. Bellamy. Revised by his son, D. Bellamy. L.P","BELLAMY, Daniel - the Elder"
262092,Auch,1899,,Aide-mémoire pour servir à l'histoire de l'Agenais ... Complété par des notices empruntées à divers auteurs et édité par G. Tholin,"BELLECOMBE, André de."
262094,Auch,1898,,"Histoire du château, de la ville, et des seigneurs et barons de Montpezat et de l'abbaye de Pérignac ... Publiée, avec quelques additions, par G. Tholin. [With plates.]","BELLECOMBE, André de."
262118,Le Mans,1875,,"Recherches historiques sur le Maine. (Extrait du Bulletin de la Société d'Agriculture, Sciences et Arts de la Sarthe.)","BELLÉE, Armand."
262212,London,1860,Hurst & Blackett,The Wood-Rangers. From the French of L. de Bellemare. By Captain Mayne Reid,"BELLEMARE, Louis Ferry Gabriel de."
262687,Oxford,1887,Rowbottom & Son,"The History of Constitutional Progress during the reign of Queen Victoria, 1837-1887","BELLEWES, George Oliver - and DEVENISH (William Hammon)"
264052,Paris,1854,,"Journal d'un voyage aux mers polaires, exécuté à la recherche de Sir John Franklin, en 1851 et 1852 ... Précédé d'une notice sur la vie et les travaux de l'auteur par M. Julien Lemer. [With the “Report” published in the “Annales maritimes,” a portrait and a map.]","BELLOT, Joseph René."
264386,London,1849,Henry Colburn,"Lucille Belmont. A novel ... [By Lord Lamington.] Second edition, revised","BELMONT, Lucille."
264767,London,1878,Remington & Co.,[Le Drame de la rue de la Paix.] A Tragedy Indeed. A novel ... Translated ... by H. Mainwaring Dunstan,"BELOT, Adolphe."
265947,München,1864,,"Die russische Gesellschaft unter Peter dem Grossen ... Aus dem Russischen von E. G. Separat-Abdruck aus dem Morgenblatte der “Bayerischen Zeitung.” (Aus der russischen Zeitschrift “Djen,” Der Tag.)","BELYAEV, Ivan Dmitrievich."
266838,Bordeaux,1897,,"Le Vénézuéla. Études physiques, politiques ... et agricoles ... Avec une préface de G. Desbats","BÉNARD, Charles Marie Eugène Pierre."
268823,London,1887,G. Bell & Sons,Benedictus. By the author of “Estelle” [i.e. Emily Marion Harris],
271530,Pest,1858,,König Koloman und Kaiser Josef. Nach dem ung. Manuskripte des Ludwig von Benitzky Stefan Prély,"BENICZKY, Lajos."
271883,London,1819,"Baldwin, Cradock & Joy","Benjamin the Waggoner, a ryghte merrie and conceited tale in verse, etc. [The introduction signed: Peter Plague'em. A parody on William Wordsworth by John Hamilton Reynolds?]",
272041,Hanover,1863,The Author,"Eight Years in Asia and Africa, from 1846 to 1855 ... With a preface by Dr. Berthold Seemann. With a map, wood-cuts ... Second edition in the English language. With notes and emendations by the author, etc","BENJAMIN, Israel Joseph."
272173,York,1885,D. Appleton & Co.,The Cruise of the Alice May in the Gulf of St. Lawrence and adjacent waters. With numerous illustrations [by M. J. Burns]. Reprinted from the “Century Magazine.”,"Benjamin, S. G. W. (Samuel Greene Wheeler)"
272229,Edinburgh,1875,Maclaren & Macniven,Benjie's Guide to Edinburgh and vicinity ... Fifth edition. [By James Brown Gillies.],
273994,York,1897,Century Co.,Master Skylark. A story of Shakspere's time ... Illustrations by R. B. Birch,"BENNETT, John - Writer of Tales"
274254,London,1889,Castell Bros.,Garnered Grain. [In verse.],"BENNETT, Lucy Ann - and BONAR (Horatius)"
276371,York,1886,B. Johnson & Co.,Picturesque York. [With illustrations.],"BENSON, George - Architect, and JEFFERSON (J. England)"
276747,London,1885,William Drewett,"[A Guide to St. Saviour's Church, Southwark, etc.]","BENSON, Samuel."
276977,London,1890,Digby & Long,"Ivor; or, Woman's wiles","BENT, Edith - and (Constance)"
277001,London,1892,Longmans & Co.,The Ruined Cities of Mashonaland: being a record of excavation and exploration in 1891 ... With a chapter on the orientation and mensuration of the temples by R. M. W. Swan. [With plates.],"BENT, James Theodore."
277002,London,1893,Longmans & Co.,[The Ruined Cities of Mashonaland: being a record of excavation and exploration in 1891 ... With a chapter on the orientation and mensuration of the temples by R. M. W. Swan. [With plates.]],"BENT, James Theodore."
277162,Edinburgh,1843,William Tait,"The Works of Jeremy Bentham, published under the superintendence of his executor, John Bowring. [The “General Preface” signed: W. W. With “An Introduction to the Study of Bentham's Works, by J. H. Burton,” “Memoirs of Bentham, by John Bowring,” and a portrait.]: Works","Bentham, Jeremy"
277163,Bruxelles,1829,,Œuvres. [Translated by P. E. L. Dumont.]: Works,"Bentham, Jeremy"
277316,Paris,1828,,"De l'organisation judiciaire, et de la codification, extraits de divers ouvrages de Jérémie Bentham ... par Ét. Dumont: Selections","Bentham, Jeremy"
277372,London,1868,Sampson Low & Co.,"Bentinck's Tutor, one of the family. A novel. By the author of “Lost Sir Massingberd” [i.e. James Payn]",
277429,Wien,1871,,Aufzeichnungen des Grafen William Bentinck über Maria Theresia. [The French text.] Mit einer Einleitung: über die österreichische Politik in den Jahren 1749-1755. Herausgegeben von Adolf Beer,"BENTINCK, Wilhelm Friedrich Christian von - Count"
277604,London,1895,G. Philip & Son,[Wintering in Egypt.],"BENTLEY, Arthur James Macdonald - and GRIFFINHOOFE (Charles George)"
279405,v Praze,1871,,"Paměti města Nové Paky, etc. [With a plate and a portrait of F. F. Procházka.]","BERAN, Josef V."
280068,Hagae Comitum,1870,,"Wilhelmus de Berchen ... De nobili principatu Gelrie et eius origine. E codice archetypo, qui Noviomagi servatur, descripsit, vulgavit breviterque annotavit L. A. J. W. Sloet van de Beele","BERCHEN, Wilhelmus de."
282253,Kraków,1880,,Pamiętniki o Polskich spiskach i powstaniach 1831-1862. Z wydania “Ruskiego Archiwum” przełożył z rosyjskiego W. Ralex,"BERG, Nikolai Vasil'evich."
